State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01209883870967742,0.024660149253731344,0.023999966666666667,0.028347744966442955
Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010306575418994414,0.014217632750397457,NA
Arizona,0.02365524345847554,0.021628452341597795,0.022803118005540166,0.022508490874764003,0.022614381940549634,0.02373842777970211,0.0252040109380179,0.024247443141852287,0.025574177901874752,0.02538516569428238,0.025903456398640997,0.02681297588334268,0.026512629984051038,0.027972658859470468,0.026559032306915697,0.02814385081240768,0.02213734705882353
Arkansas,NA,NA,NA,NA,NA,NA,NA,0.024740642857142857,0.02488974043715847,0.02448718904109589,0.027649920138888888,0.02746128219178082,0.027883923444976075,0.02557740821917808,0.023851506849315068,0.024334931318681318,0.026009593406593406
California,0.023674722391491806,0.024844303941323448,0.026342203739854103,0.02564763969830159,0.025978691258689544,0.025119420630802053,0.026273566375047547,0.026670198052911195,0.026976376492373666,0.026156712549019606,0.025668665222623347,0.026144162826749345,0.026872414714094937,0.026072653657174764,0.02695688012673825,0.02755119085317581,0.02530094290909091
Colorado,0.017066016438356164,0.0163762492211838,0.02060418600368324,0.019413734761120263,0.017202072886297375,0.018818469268292684,0.02049410903426791,0.021691658536585365,0.025608830253251197,0.02678281875,0.022954549528301886,0.027845387755102043,0.026317186950146627,0.028709088571428572,0.027259398659579385,0.024450965963566634,0.02098914126394052
Connecticut,NA,NA,NA,NA,NA,NA,0.026086017441860464,0.029019812267657992,0.02608435879396985,0.0237630891651865,0.0274742759051186,0.02897121872060207,0.030193727102803738,0.031194899001109878,0.030385449656750572,0.03110335689455388,NA
Country Of Mexico,NA,NA,NA,NA,NA,NA,0.02301142311770944,0.02246138214285714,0.02114149357326478,0.022321129629629628,0.022187473537604457,0.01682285342789598,NA,NA,NA,NA,NA
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024982753968253966,0.026496333333333334,0.02894067441860465,0.026187391959798995,0.028373547511312217,0.025158940476190477
District Of Columbia,0.017567395604395606,0.020935893982808023,0.024150441095890412,0.019371847645429364,0.019498175824175824,0.02164357182320442,0.02670401917808219,0.02855557037037037,0.0264677,0.02365621546961326,0.028239994505494505,0.02458485697808535,0.025915747572815534,0.025505441221374044,0.024595138173302108,0.026668515885022694,0.031057155172413795
